Fecha,Estado,Grupo_social,Tematica,Total_poblacion,Bajo_umbral_pobreza,Porcentaje_pobreza,Origen_dato
2016-01-01,Wisconsin,Educación secundaria,Educación,1195781,127081,0.106,Original
2016-01-01,Wyoming,Educación secundaria,Educación,111891,12791,0.114,Original
2016-01-01,Puerto Rico,Educación secundaria,Educación,650699,304776,0.468,Original
2016-01-01,Alabama,Título universitario,Educación,810878,36853,0.045,Original
2016-01-01,Alaska,Título universitario,Educación,140689,3686,0.026,Original
2016-01-01,Arizona,Título universitario,Educación,1328310,72701,0.055,Original
2016-01-01,Arkansas,Título universitario,Educación,442327,20096,0.045,Original
2016-01-01,California,Título universitario,Educación,8627597,439167,0.051,Original
2016-01-01,Colorado,Título universitario,Educación,1488319,59166,0.04,Original
2016-01-01,Connecticut,Título universitario,Educación,949203,32054,0.034,Original
2016-01-01,Delaware,Título universitario,Educación,204452,6746,0.033,Original
2016-01-01,District of Columbia,Título universitario,Educación,271764,17038,0.063,Original
2016-01-01,Florida,Título universitario,Educación,4189545,244589,0.05799999999999999,Original
2016-01-01,Georgia,Título universitario,Educación,2057122,98241,0.048,Original
2016-01-01,Hawaii,Título universitario,Educación,314796,15071,0.048,Original
2016-01-01,Idaho,Título universitario,Educación,299414,13927,0.047,Original
2016-01-01,Illinois,Título universitario,Educación,2925948,133010,0.045,Original
